"id","title","slug","date","markdown_tc"
"1914","【台灣】4 月外銷訂單表現遠優於預期，消費性電子豁免帶動提前備貨",,"2025-05-21","#### 重點整理
>1. 台灣 4 月外銷訂單年增率達 19.8%（前 12.5%），**遠優於預期的 6.2% ～ 10.4%**，其中電子產品訂單顯著增加，金額達 230.8 億美元創下歷史新高，年增率達 35%（前 21.84%），資通訊反彈力道一反過去淡季，年增率繼續回升至 19.9%（前 11.4%），反映消費性電子在 4/11 被列入豁免名單後，**廠商的提前備貨需求明確回溫**。
>
>2. 從國家來看，**美國客戶的拉貨動能持穩高檔**，年增率達 30.3%（前 30.65%），**東協訂單金額回升至接近歷史新高**，年增率達 32.8%（前 26.3%）。

#### 重點整理

本月 [外銷訂單](https://www.macromicro.me/collections/13/tw-trade-relative/160/tw-export-orders) 一改上個月的穩定，在淡季下出現明顯回升，金額創 2022 年 10 月以來新高，尤其 [電子產品和資通訊](https://www.macromicro.me/collections/13/tw-trade-relative/3077/tw-export-orders-industries-raw) 的外銷訂單最顯著，主要因為在 **4/11 時美國海關及邊境保護局公佈最新對等關稅豁免清單，其中就包括手機、筆電、平板、智慧手錶、電視等消費性電子，伺服器也涵蓋在內**，這也讓原本因關稅不確定性而未積極下單的客戶增加了提前備貨的意願。從 [國家](https://www.macromicro.me/collections/13/tw-trade-relative/3078/tw-export-orders-countries-raw) 來看，美國客戶的拉貨動能持穩高檔，反映搶貨動能和 AI 的強勁需求，東協的訂單金額回升至接近歷史新高，且力道相比於中國更強勁，也是因為本次豁免清單中中國仍然適用於 20% 芬太尼關稅，因此客戶更傾向於到關稅較低的東協供應鏈下單。

後續要留意的是即將公佈的「**半導體關稅**」，若符合我們在 [5 月月報](https://www.macromicro.me/mails/monthly_report) 提到的，若不走向最壞情境的「統一高關稅」，採用「原產地價值含量」認定標準或給予一定的豁免機制，則供應鏈將會有更多調度空間，此波搶貨動能則可望回歸平穩，但如果關稅政策不如預期樂觀，此波搶貨動能可能將延續，也會進一步透支下半年旺季的拉貨動能。

#### 推薦閱讀

* [【行情快報】美中休戰、市場急彈，談判變數的三大關鍵！](https://www.macromicro.me/blog/market-news-uschina-truce-market-rebound-three-key-variables-in-the-negotiation)
* [【行情快報】台幣狂升變「最強貨幣」，暴力升值結束了嗎？](https://www.macromicro.me/blog/market-news-the-taiwan-dollar-has-risen-sharply-and-become-the-strongest-currency-has-the-violent-appreciation-ended)"
"712","【市場收盤行情】",,"2025-05-21","<center><a href=""/stocks""target=""_blank"" style=""color:#1ABC9C ""><img src=""https://cdn.macromicro.me/blog/399/06eab556-25848.png"" style=""width:20%;""></a> <a href=""/raw-materials"" target=""_blank"" style=""color:#1ABC9C ""><img src=""https://cdn.macromicro.me/blog/323/2ae25d9e-25284.png"" style=""width:20%;""></a> <a href=""/forex""target=""_blank"" style=""color:#1ABC9C ""><img src=""https://cdn.macromicro.me/blog/323/9d2645b9-23191.png"" style=""width:20%;""><a href=""/bonds""target=""_blank"" style=""color:#1ABC9C ""><img src=""https://cdn.macromicro.me/blog/399/de64d93c-26641.png"" style=""width:20%;""></a></center>
      
	"
"1913","【半導體】Computex 黃仁勳演講重點",,"2025-05-20","#### 重點整理
>**黃仁勳在 5/19（一）台北舉辦的 Computex 上進行主題演講，以下為 M平方整理的 11 大重點**：
>1. **重新定位輝達**：輝達不再只是科技公司，而是「 AI 基礎建設公司」，因此必須要非常詳細地公佈產品路線圖，不然怎麼讓其他人去打造、建設。而所謂基礎建設在過去第一次工業革命時，最重要就是要「電力」。而現在基礎建設就是「資訊和網路」。每家公司都有網路建設。但到了未來，基礎建設就是「 AI 」，任何產業、任何公司都需要 AI，而 AI 就需要工廠，而 token 就是工廠的產品， 有些公司已經開始在財報中討論上個季度生產了多少 token。
>
>2. **輝達的真正優勢**：市場經常提到加速運算和 AI，但真正讓輝達與眾不同的是演算法和函示庫，也就是「 CUDA-X acceleration libraries 」，而當 Cuda 的效能達到極致後，就會普及到全球，吸引更多的開發者和應用產生，進而繼續讓 Cuda 的技術普及。目前 Cuda 應用更延伸到了量子領域，也就是 cuQuantum 模擬平台。
>
>3. **量子運算的未來**：目前量子運算正處於「 noisy intermediate 」階段，但已經有許多應用場景開始實現，例如現場展示了用 CUDA-Q 模擬化學分子反應，速度比傳統方式快了 100 倍，預期未來所有超級電腦都將具備量子加速功能。
>
>4. **電信業市場潛力**：如同資料中心已不是傳統的「硬體定義」，而走向軟體控制的方向，電信基礎設施（包括基地台、 RAN）也正朝著這一方向發展，這也是為甚麼 Nvidia 花了 6 年時間打造了一套以 GPU 加速為核心的 RAN 解決方案，技術已與最先進的 6G 不相上下。
>
>5. **CoWoS-L 為最新 AI 晶片關鍵 **：Blackwell 架構是透過兩個晶片連接在一起來突破單一晶片尺寸的限制，而與台積電合作開發的 CoWoS-L 得以達成這樣的目標，藉此打造出這些巨型晶片。
>
>6. **台灣生態系對 AI 發展至關重要**：Blackwell 是一個工程奇蹟，始於台積電的一個空白矽晶圓，經過數百個晶片處理和紫外線曝光步驟後，在 12 吋晶圓上建構出 2000 億個電晶體，並切成單獨的 Blackwell 裸晶，再由京元電子透過 125 度烘箱對這些晶片進行壓力測試，到了鴻海則交給機器人將 1 萬個元件精準放置到 Grace Blackwell 的印刷電路板上，酷碼、奇鋐等公司則提供定製液冷銅製散熱器，最後將來自世界各地的零組件組裝成機架規模的 AI 超級電腦。同時也將與鴻海、台積電和台灣政府在台灣建立第一座巨型 AI 超級電腦。
>
>7. **AI Agent 將作為勞動力短缺的解方**：未來預計到 2030 年全球將會有 3000 ~ 5000 萬的勞工短缺，這將限制全球的成長，但未來 AI Agent 在具備推理、使用工具以及和他人協作的能力後，某種意義上可作為「數位員工」來幫企業執行多種任務，例如 Nvidia 已經讓 100% 的軟體工程師使用數位 Agent 協助工作；又或者 VAST 透過 IQ 藍圖打造一個銷售研究的 AI Agent，過去需要數天的銷售計劃，現在只需一個提示即可完成計劃。
>
>8. **搜尋行為的改變帶動儲存平台的革新**：人們的搜尋方式逐漸由傳統的 Google 搜尋，轉移到 AI 搜尋，而 AI 需要查詢的是更多「非結構化資料」，並在這些資料和原始資料中提取出意義，而傳統的儲存架構（SQL）無法高效處理這類非結構化數據，因此 Nvidia 與許多儲存產業的公司合作開發了一個全新的查詢系統，「 Nvidia AIQ 」，而未來大多數的儲存伺服器也將配備 GPU 運算節點。
>
>9. **AI Agent to Physical AI**：思考鏈、逐步分解、思考樹這些技術正在推進 AI 的推理能力，而一但 AI 具備推理能力和多模態感知能力，就會形成 AI Agent，它能夠像人一樣：給定目標後理解目標（understand），並逐步分解問題（think），最後推理出下一步的決策（act）。本質上就是一個數位形式的機器人，並牽動到下一波的 AI 浪潮「物理 AI（Physical AI）」，也就是能夠理解物理世界的 AI，理解慣性、摩擦力、因果關係等。
>
>10. **人形機器人**：
	* 黃仁勳繼續表態人形機器人將會是**下一個兆元產業**，但目前面臨的主要挑戰是缺乏大規模的真實及合成的訓練數據。
	* 機器人要在真實物理世界學習並不高效，因為人類案例受限於一天的時間，因此要創造一個虛擬世界，開發者可透過 Cosmos 來擴大符合物理法則的數據和環境，另外 Nvidia 與 Google DeepMind 和 Disney Research 也為此合作打造了全球最先進的物理引擎 Newton，預計在 7 月開源，並可將 Newton 引擎整合到 Isaac 平台上應用。
	* 下一代人形機器人基礎模型 Isaac GR00T N1.5 正式開源（3 月時為 N1）。
>
>11. **重點產品**：
	* NVLink Fusion 平台搶食半客製化市場：首次公佈 NVLink Fusion 技術，可幫助企業將自己的 CPU 和 Nvidia 的 GPU 進行整合，或是將 Nvidia CPU 和其他公司的 AI 晶片進行整合。目前許多企業正建構半客製系統，例如自研 TPU 、 ASIC 或其他專用加速器，但這些系統往往缺乏「 Scale-Up 」的能力（因為要挑戰的是半導體的物理極限）。
	* Jetson Thor：全新機器人處理器已進入量產階段，可適用於自駕車和人形機器人系統。
	* GB300：宣布 Grace Blackwell 的新版本 GB300，預計在今年 Q3 上市，對比上一代 B200 提升了 1.5 倍推理效能，1.5 倍 HBM 容量和 2 倍網路頻寬，且單一計算節點即可提供 40 PFLOPS。
	* DGX Spark 和 DGX Station：上次在 CES 公佈的 Project DIGITS 的個人 AI 電腦 DGX Spark 已經全面投產，配備 GB10 晶片和第五代 Tensor Cores，預計在未來幾周內上市。而 DGX Station 將在今年稍後推出。"
"1912","【中國】4 月關稅壓抑外需顯現，月中數據多不如預期",,"2025-05-20","#### 重點整理
>1. 4 月[工業增加值年增率](https://www.macromicro.me/collections/25/cn-industry-relative/229/cn-value-added-of-industry-pmi) 6.1%（前 7.7%），細項中，出口交貨值大幅滑落至 0.9%（前 7.7%），凸顯美國「禁運級」關稅落地下，廠商銷美訂單銳減；而部分具政策扶持的內需工業品，如汽車、工業機器人、半導體等產量偏強，在外需承壓下接棒支撐工業產出。
>
>2. 4 月[社會消費品零售年增率](https://www.macromicro.me/collections/23/cn-consumption) 5.1%（前 5.9%），不及預期，財政對部分商品的高強度補貼（如電動車、家電、消費性電子），透支了其他領域的消費力（如燃油車、石油消費、服裝、電商零售）。
>
>3. 1 ~ 4 月[固定資產投資累計年增率](https://www.macromicro.me/collections/30/cn-investment-relative) 4.0%（前 4.2%），不及預期，房地產投資 -10.3% 、民間投資 0.2% 仍是主要拖累，僅製造業投資在政策支持下，累計增速維持在 8.8%（前 9.1%）的高位。
>
>4. 房市復甦動能再度停滯，1 ~ 4 月商品房銷售額累計年增率 -2.8%（前 -2.1%）年減幅重新擴大，[房地產綜合景氣指數](https://www.macromicro.me/series/898/cn-real-estate-climate-index) 93.86（前 93.95），改善趨勢轉弱，總體房價年增率 -4.0%（前 -4.5%）修復速度偏慢。

#### MM 研究員
  
##### 生產：4 月外需壓力驟升，留意中美談判後搶出口是否重啟
本月[工業增加值](https://www.macromicro.me/collections/25/cn-industry-relative/229/cn-value-added-of-industry-pmi)增速有所滑落，細項指標工業出口交貨值的大幅下降，凸顯出口訂單銳減對生產造成的壓力，同時，手機 -6.4% 、計算機 -2.2% 、紡織等外需型工業品，4 月產量年增率均由正翻負，與 4 月對美出口年增率 -21%（前 8.8%）轉負相呼應。 5 月中美談判超預期，美國對中關稅從 145% 驟減至 30%，留意後續搶出口是否重新啟動。

另一面，4 月汽車 8.5% 、工業機器人 51.5% 、太陽能 33.4% 、發電設備 124.2% 、工業機床 15.6% 、積體電路 4.0%，這些具有國家戰略扶持的內需型工業品，產量年增率展現出較高的韌性，在短期為工業生產注入穩定劑。
  
##### 消費與房市：消費內生修復動能不足，外部補貼反透支其餘領域消費力
  
本月[社會消費品零售](https://www.macromicro.me/collections/23/cn-consumption)不及預期，在關稅不確定性和房價修復緩慢下，居民收入預期、財富效應尚不穩定，此時財政補貼對部分商品買氣的刺激，代價可能是透支其他方面的消費。

以汽車為例，新能源汽車在財政刺激下，持續保持歷年同期最強銷量，4 月年增率擴大至 44.2%（前 40.1%）；反觀燃油車，政策支持力道不及新能源，4 月銷量年衰退幅度擴大至 -9.6%（前 -7.4%），導致整體汽車零售年增率 0.7%（前 5.5%）反而不強，也側面反映一些歐洲傳統燃油車商在中國市場的困境。

其他產品也有類似跡象，如受財政補貼的家電 38.8% 、手機相關的通訊器材 28.6% 、筆電相關的辦公用品 33.5%，零售額年增率表現強勁，而其他領域如石油消費 -5.7% 、服裝紡織 2.2%，以及實物電商網購 5.7%（累計年增率），則明顯偏弱。


##### 投資：製造業投資強度凸顯政策導向，但民間投資信心仍低
  
[固定資產投資](https://www.macromicro.me/collections/30/cn-investment-relative)的亮點依然在製造業，在提升產業鏈韌性的訴求下，決策層不斷強化製造業投資，作為驅動投資增長的核心引擎，希望取代過去的房地產投資，政策的扶持也體現在國營事業投資，1 ~ 4 月累計年增率 6.2%（前 6.5%）高位持穩，但民間投資維持幾乎零增長態勢，顯示信心不足對投資的拖累仍是主因。



#### 推薦閱讀

* [【行情快報】美中休戰、市場急彈，談判變數的三大關鍵！](https://www.macromicro.me/blog/market-news-uschina-truce-market-rebound-three-key-variables-in-the-negotiation)
"
"1911","【美國】穆迪宣布調降美國信用評等，美國失去最後 3A 評價",,"2025-05-20","#### 重點整理
>1. 全球三大信評機構之一的穆迪（ Moody's），於美國時間 5/16 宣布將美國信用評等自最高級「 Aaa 」下調至次一級「 Aa1 」，主因過去十幾年來，美國債務與利息支出比例持續成長，已遠超相同評級的主權國家，並且在未來十年，社會福利支出持續增加下，預計赤字將進一步擴大，加重債務及利息負擔。
>
>2. 與此同時，穆迪將美國展望由負面（negative）調整為穩定（stable），理由為美國仍存在眾多經濟優勢，包含高收入、強勁的經濟成長潛力、以及創新動能對於生產力帶來支撐，因此預期美國長期成長並不會受到關稅影響。

#### MM 研究員
美國於 2011 年、 2023 年已經被 S&P 與惠譽（Fitch）分別將信用評等自 AAA 降至 AA+ ，如今再遭穆迪降評，正式失去所有三大信評機構的最高評級。觀察先前兩次降評經驗，短期內股市都相對承壓，然而對債市的影響並不一致：

* **2011/8 S&P 降評**：降評反而導致市場避險情緒升溫，資金大量湧入債市，使 10 年期公債殖利率從當年 7 月底接近 3% 的水準，一路跌破 2%，於 9 月底觸及 1.7% 左右的低位（債券價格上漲）。
* 
* **2023/8 惠譽降評**：降評伴隨著當時經濟走強、財政部大幅上調長債拍賣量的背景，10 年期公債殖利率持續攀升，於當年 10 月觸及 4.9% 的高點（債券價格下跌），隨後則在股市回檔之下，受到資金再度回頭債市的挹注，使殖利率轉往向下（債券價格上漲）。
  
回到本次降評，如今在關稅疑慮下，市場對美國信心本就有所動搖，加上眾議院正在推進減稅法案，市場也將跟隨調整未來政府擴大發債的預期，短期內與降評話題一同搭配發酵，可能使債市承壓。
  
拉長來看，當初衝擊最大的 2011 年 S&P 首次降評後，美債並未因此陷入熊市，反而延續長期的殖利率走低趨勢，也就是說降評長期而言並無實質影響，最終仍然回歸中性利率走勢、經濟與通膨、供需前景等根本因素的變化影響，對此，我們也將於本週[獨家發布快報](https://www.macromicro.me/mails/monthly_report)解讀，提供我們對債市長期看法。



#### 推薦閱讀

* [【行情快報】美中休戰、市場急彈，談判變數的三大關鍵！](https://www.macromicro.me/blog/market-news-uschina-truce-market-rebound-three-key-variables-in-the-negotiation)
"
"1910","【全球】行情回顧與本週重點",,"2025-05-19","#### 重點整理

>1. 全球股市在中美聯合聲明大超預期下，於上週持續上漲。美國方面，通膨數據下降、零售數據優於預期，美股三大指數齊漲，以科技板塊上漲最多，費半指數及 NASDAQ 分別上漲逾 10.2% 及 7.15%，同步帶動台灣加權指數也走高 4.44%，而印度股市則在印巴衝突停火後再創近半年新高；匯市及債市方面，美元指數反彈一度觸及 102 水平，美債殖利率則於 4.5% 左右徘徊，原物料市場則變動不大，惟金價回檔幅度較為顯著， 於上週一度跌破  3,150 美元 / 盎司關口，為近一個月新低，反應避險情緒的降溫。
>
>2. 本週重要大事有：
>* **[中國月中數據](https://www.macromicro.me/collections/21031/china-monthly-economic-data/88589/china-key-indicator)**（5/19 一）： 4 月受對等關稅亂流衝擊，領先指標 PMI 承壓，工業增加值年增率預計微幅下滑 5.9%（前 7.7%）；消費方面，財政部針對汽車、電子產品的消費補貼，有望讓社會消費品零售年增率支撐在 5.9%（前 5.9%）；此外，中央預算內投資的陸續撥款，以及中國科技巨頭加大 AI 基礎設施的建置，4 月累計年增率有望微幅上升至 4.3%（前 4.2%）。
>
>* **[中國貸款市場報價利率（LPR）](https://www.macromicro.me/collections/31/cn-finance-relative/13442/cn-loan-prime-rate)**（5/20 二）：5/7 人行調降存款準備率 0.5 個百分點，並同時下調 7 天期逆回購操作利率 0.1 個百分點至 1.4%，預計能引導貸款市場報價利率 (LPR) 同步下調 0.1 個百分點，一年期跟五年期 LPR 將分別降至 3%（前 3.1%）、 3.5%（前 3.6%）。
>
>* **[台灣外銷訂單](https://www.macromicro.me/collections/13/tw-trade-relative/160/tw-export-orders)**（5/20 二）：儘管搶出口下的急單短暫拉動 4 月出口數據，但有鑒於目前關稅結果尚未明朗，尤其是利潤相對低的傳產無法確定成本的轉嫁情況，短期出口和外銷訂單走勢的分歧可能會延續，經濟部預估 4 月外銷訂單年增 6.2% ～ 10.4%（3 月 12.5%）。
>
>* **[歐元區 PMI](https://www.macromicro.me/collections/42/eu-industry-relative/499/eu-ea19-euro-area-pmi)**（5/22 四）：市場預期 PMI 將小幅上升至 49.3（前 49.0），延續近期弱復甦格局。

[![一週盤前](https://cdn.macromicro.me/edms/2024-01/acfbe674-173041.png)](https://www.macromicro.me/blog/tag/MondayBeforeTheMarketOpens)
免費加入一般會員，即可於每週一早上收到完整 [一週盤前資訊](https://www.macromicro.me/blog/tag/MondayBeforeTheMarketOpens)。
"
"1909","【美國】零售銷售略高於預期，服務消費展現韌性！",,"2025-05-16","#### 重點整理

>1. 美國 4 月零售銷售月增率 0.06%（前 1.68%），略高於市場預期的 0%，前值則有所上修，帶動年增率來到 5.16%（前 5.25%），細項中商品搶購動能有所消退，不過代表服務消費的餐飲店卻持續展現韌性，略為減緩了消費下行的疑慮。
>
>2. 美國 4 月 PPI 則是大幅低於預期，月減 -0.5%（前 0%）為 2020 年以來新低，帶動年增大幅下滑至 2.4%（前 3.39%），與日前公佈的 CPI 情況一致，顯示關稅衝擊尚未傳導至物價。
>
>3. 數據公佈後，FedWatch 預期今年降息幅度為 2 碼，降息時點分別為 9 、 12 月。

#### MM 研究員

美國 4 月 [零售銷售](https://www.macromicro.me/collections/3/us-consumption-relative/86/retail-sales) 月增率 0.06%（前 1.68%），略高於市場預期的 0%，前值則有所上修，帶動年增率來到 5.16%（前 5.25%），連續兩個月突破 5 字頭，顯示消費仍然具有韌性。

觀察 [細項](https://www.macromicro.me/collections/3/us-consumption-relative/78/retail-sales-items-monthly) 的單月變動，經歷上個月明顯的關稅前搶購後，汽車消費動能有所退潮，本次月減 -0.13%（前 5.54%），與此同時，較依賴中國進口的休閒運動（月減 -2.54%）、服飾（月減 -0.43%）也有較明顯的滑落，不過代表服務消費的餐飲店則展現韌性，月增 1.19%（前 3.04%），連續第二個月維持在高檔，為消費動能帶來了支撐。

而即使月增表現溫和，但我們認為本次亮點在於，除了加油站受油價影響外，其餘所有消費年增率均呈現明顯增長，包括汽車年增率 9.3% 、家具 7.7% 、醫療保健 8.5% 、電商 7.5% 、餐飲 7.8%，顯示當前消費力道相較於去年仍屬穩健。

此外，與零售銷售同一時間公佈的 [PPI](https://www.macromicro.me/collections/5/us-price-relative/26/price-index) 則帶來好消息，月減 -0.5%（前 0%），為 2020 年以來新低，帶動年增大幅下滑至 2.4%（前 3.39%），與日前公佈的 CPI 情況一致，顯示關稅衝擊尚未傳導致物價。

整體而言，本次開出的零售銷售與 PPI 顯示美國硬數據表現依然穩定。數據公佈後，[FedWatch](https://www.macromicro.me/collections/4238/us-federal/121406/us-number-yearend-rate-2025) 預期今年降息幅度為 2 碼，降息時點分別為 9 、 12 月。


#### 推薦閱讀

* [【行情快報】美中休戰、市場急彈，談判變數的三大關鍵！](https://www.macromicro.me/blog/market-news-uschina-truce-market-rebound-three-key-variables-in-the-negotiation)"
"1908","【原油】需求增速仍低於疫情水準，庫存堆積使油價維持低位",,"2025-05-16","#### 重點整理
>1. 需求端：三大能源機構中，EIA 與 IEA 小幅上調全球石油消費增速預估至每日 97 萬與 74 萬桶（前 90 萬/ 73 萬桶），2025 年平均增速為每日 100 萬桶（前 97 萬桶），但整體石油消費增速仍低於疫情前平均水準（約每日 150 萬桶）。
>
>2. 供給端：沙國雖在 5 月初施壓提高增產幅度至每月 41.1 萬桶 / 日，但成效有限，本月 OPEC 實際僅增產 2.5 萬桶 / 日，遠低於原訂 13.8 萬桶 / 日，主要因哈薩克、伊朗、奈及利亞與利比亞進行補償性減產。另一方面，低油價可能影響投資意願，美國油商預計下修 2025 年資本支出，恐使頁岩油產量下滑；OPEC 亦預測 2025 年非 OPEC 國家探勘與生產資本支出年減 5% 。若上游投資持續疲軟，未來供給增速恐受限。
>
>3. 整體而言，目前油市仍供過於求，EIA 預估 Q2-Q4 全球石油庫存每日堆積 48 / 42 / 74 萬桶，油價維持低位預期不變。

#### MM 研究員

從需求端來看，[三大能源機構](https://www.macromicro.me/collections/19/mm-oil-price/120146/world-oil-demand-change-2025) 除 OPEC 外，EIA 、 IEA 皆小幅**上調全球石油消費增速預估**，分別上調至每日 97 萬/74 萬桶（前 90 萬/ 73 萬桶）。 2025 年平均值落在 +100 萬桶，相較前月預估的 +97 萬桶微幅增加，然而受經濟放緩或衰退的擔憂與電動車銷售增長影響，**2025 全球石油消費增速仍低於疫情前平均（約每日 150 萬桶）**。 [EIA](https://www.macromicro.me/collections/19/mm-oil-price/122376/major-economies-liquid-fuels-consumption-annual-chg-eia-estimate) 預估 2025 年印度石油每日消費量將達到 566 萬、年增 19 萬桶，主要受到運輸燃料需求上升的推動 ; 而中國 2025 年石油消費增速也持穩於年增 22 萬桶，與 2024 年水準相當 ; 成熟經濟體當中，美國保持穩健成長（+19 萬桶）、歐洲持平（ 0 萬桶 ），日本（-6 萬桶）則呈現衰退。

[供給](https://www.macromicro.me/collections/19/mm-oil-price/31581/world-petroleum-and-other-liquids-production-consumption) 方面，EIA 預估 2025 年全球每日石油產量年增預估 138 萬桶（前 135 萬桶），反映 OPEC+ 預期在未來數月的增產行動。雖然沙國持續施壓 OPEC 成員國加大增產力度，將 5 月和 6 月的增產幅度大幅提高至每月 41.1 萬桶 / 日，但 4 月 OPEC 僅合計增產 2.5 萬桶 / 日，遠低於原訂的 13.8 萬桶 / 日，其中哈薩克產量減少 4.1 萬桶 / 日至 182.3 萬桶 / 日，伊朗、奈及利亞和利比亞也分別減產 3 萬、 2.8 萬、 1.4 萬桶 / 日，係受上述幾國前幾個月的超額增產下，4 月進行**補償性減產**所致。此外，近期低油價對投資也造成負面影響，多個美國油商如響尾蛇能源（Diamondback Energy）、科特拉能源（Coterra Energy Inc）等，在 Q1 電話會議中表示將降低 2025 年資本支出並減少 [鑽井平台數量](https://www.macromicro.me/collections/19/mm-oil-price/175/us-crude-oil-rigs-count)，此舉恐使美國頁岩油產量下跌 ; OPEC 也預測 2025 年非 OPEC 國家的石油勘探與生產資本支出將年減約 5%，並在 2026 年再下降 2% 。若全球上游投資持續疲弱，即便提高鑽油井效率，未來供應成長速度也將受限。

近期國際油價重心維持在每桶 60 美元。 4 月原油隱含波動度平均超過 35%，但波動率升高是由於對經濟放緩或衰退的擔憂，而非供應中斷風險，整體仍呈現供過於求，EIA 也預估 Q2-Q4 全球石油庫存每日堆積 48 / 42 / 74 萬桶，致近期油價呈現下跌趨勢。未來關注 OPEC + 將於 6/1 召開會議決定 7 月產量政策方向，以確立下半年油價維持低位預期是否變化。


#### 推薦閱讀

* [【行情快報】美中休戰、市場急彈，談判變數的三大關鍵！](https://www.macromicro.me/blog/market-news-uschina-truce-market-rebound-three-key-variables-in-the-negotiation)"
"1907","【半導體】美國商務部撤銷 AI 擴散規則，費半收漲 3.15%",,"2025-05-15","#### 重點整理

>1. 美國商務部於 5/13 正式撤銷了原訂在 5/15 生效的「**AI 擴散規則（AI Diffusion Rule）**」，認為該規則將抑制美國創新且破壞了美國與數十國的外交關係，同時間輝達也宣布向沙烏地阿拉伯公司 Humain 銷售超過 18,000 顆最新的 AI 晶片，樂觀氣氛帶動費半指數收漲 3.15% 。
>
>2. 同時商務部也宣布將強化對海外 AI 晶片的出口管制，包括點名使用「華為 Ascend 晶片」者是違反美國規定、警告要避免使用美國的 AI 晶片用來訓練或推理中國 AI 模型、協助美國企業防範供應鏈轉運與規避管制的策略。

#### MM 研究員

美國商務部正式撤銷拜登政府任內留下的「 AI 擴散規則」（原訂 5/15 生效），以其他 AI 晶片出口管制取代。原先 AI 擴散規則將全球分三級，第一級盟友取得 AI 晶片無限制，第二級國家配額，第三級全面禁止（如中國），該計劃多次被各大科技巨頭高層批評，過度的出口管制只會讓美國的盟友或是第二級別國家被推向中國，反而讓美國喪失在新興中立國家的擴張機會，甚至助長中國加速自主研發。

AI 擴散規則撤銷的時間點也剛好落在川普和各大科技巨頭高層參加的「**沙美投資論壇**」，輝達也同步宣布將會向沙烏地阿拉伯公司 Humain 銷售超過 18,000 顆最新的 AI 晶片，配合上川普未來與各國的貿易談判，**後續有機會預見其他「第二級別國家」會購買更多美國的 AI 晶片**。

但同時我們也要留意到未來商務部仍會推出「替代方案」，且這次撤銷規則的同時也公佈了**加強海外 AI 晶片的管制行動**，包括：
1. 在全球任何地點使用華為 Ascend 系列晶片皆違反美國出口管制規定。
2. 警告美國 AI 晶片被用於訓練與推論中國 AI 模型的潛在後果。
3. 協助美國企業防範供應鏈轉運與規避管制的策略。

這也如同 M平方 [最新快報](https://www.macromicro.me/blog/market-news-uschina-truce-market-rebound-three-key-variables-in-the-negotiation) 中提到的**美國在「國安」考量上難以在高科技、半導體領域全盤放手**，可能對後續的美中談判造成一定地負面影響，短期要快速達成協議的難度仍高，如同 2018 年中美貿易戰「**邊打邊談**」的情況。但長期來說，我們也看到**美國逐漸由過去的「科技管制」慢慢轉向到對「科技外交」的重視**，藉此擴大美國 AI 技術的影響力。


#### 推薦閱讀

* [【行情快報】美中休戰、市場急彈，談判變數的三大關鍵！](https://www.macromicro.me/blog/market-news-uschina-truce-market-rebound-three-key-variables-in-the-negotiation)
* [【行情快報】聯準會稱降息為時過早，失業率、通膨風險同步攀升！](https://www.macromicro.me/blog/market-news-the-federal-reserve-said-it-is-too-early-to-cut-interest-rates-and-the-unemployment-rate-and-inflation-risks-are-rising-simultaneously)"
"1906","【美國】4 月 CPI 低於預期，關稅衝擊並未顯現",,"2025-05-14","#### 重點整理
>1.  美國 4 月 CPI 季調年增 2.33%（前 2.41%），月增 0.22%（前 -0.05%），同時核心 CPI 季調年增 2.78%（前 2.81%），月增 0.24%（前 0.06%），雙雙低於市場預期。
>
>2. 商品部分，低油價使能源年增率 -3.48% ，持續為通膨帶來顯著負貢獻，核心商品月增 0.06% 也顯示關稅衝擊尚未明顯浮現；服務部分，房租與房租以外服務月增未進一步降溫，因此兩者年增率雙雙停滯。
>
>3. 數據公佈後，FedWatch 預期今年降息 2 碼，首次降息時點延後至 9 月。

#### MM 研究員

美國 4 月 [CPI](https://www.macromicro.me/collections/5/us-price-relative/10/cpi) 季調年增 2.33%（前 2.41%），[月增](https://www.macromicro.me/collections/5/us-price-relative/89/cpi-items-mom) 0.22%（前 -0.05%），同時核心 CPI 季調年增 2.78%（前 2.81%），月增 0.24%（前 0.06%），雙雙低於市場預期。本次我們以兩大重點解析：

##### 商品：仍未見到關稅衝擊，低油價持續壓抑通膨

首先看到商品部分，在 OPEC 加速增產挹注原油供給之下，油價近期保持在 60 美元的低位附近徘徊，使能源年增率 -3.48%（前 -3.22%）為通膨帶來顯著負貢獻；而核心商品月增 0.06%（前 -0.09%）也並未顯著上升，顯示關稅衝擊尚未明顯反映在消費者物價上。

##### 服務：房租以及房租以外服務月增雙雙降溫，年增延續放緩

服務部分，首先 [房租](https://www.macromicro.me/collections/5/us-price-relative/49740/us-cpi-rent-zillow-rent-yoy) 月增率本月跳高至 0.33%（前 0.22%），租年增率停滯在 4%，不過觀察其中兩大租金項目價格並未明顯升溫，未來房租降溫趨勢預期仍將持續；至於服務排除房租月增則大致維持在 0.29%（前 0.26%），年增率 3.35%（前 3.30%）暫未取得更多進展。

數據公佈後，[FedWatch](https://www.macromicro.me/collections/4238/us-federal/121406/us-number-yearend-rate-2025) 預期今年降息 2 碼，首次降息時點為 9 月。整體而言，本次 CPI 延續上個月狀況，由低油價舒緩通膨，未見到顯著的關稅衝擊。


#### 推薦閱讀

* [【行情快報】美中休戰、市場急彈，談判變數的三大關鍵！](https://www.macromicro.me/blog/market-news-uschina-truce-market-rebound-three-key-variables-in-the-negotiation)"
